lib,trial,n,threads,us_per_n,cpu_time,real_time
ntl-feea,2,11,1,53.5209,0.10,00.11
ntl-feea,2,11,2,49.2378,0.11,00.11
ntl-feea,2,11,4,46.2672,0.11,00.10
ntl-feea,2,11,8,67.2498,0.18,00.15
ntl-feea,2,11,16,60.2229,0.17,00.15
ntl-feea,2,12,1,47.3473,0.20,00.21
ntl-feea,2,12,2,40.0884,0.20,00.17
ntl-feea,2,12,4,51.7823,0.27,00.23
ntl-feea,2,12,8,64.8367,0.39,00.28
ntl-feea,2,12,16,62.3519,0.35,00.28
ntl-interp,0,6,1,37.5868,0.01,00.01
ntl-interp,0,6,2,34.2722,0.00,00.01
ntl-interp,0,6,4,36.3425,0.01,00.01
ntl-interp,0,6,8,67.0813,0.01,00.01
ntl-interp,0,6,16,72.4922,0.01,00.01
ntl-interp,0,7,1,44.2711,0.01,00.01
ntl-interp,0,7,2,34.9758,0.01,00.01
ntl-interp,0,7,4,41.9643,0.01,00.01
ntl-interp,0,7,8,39.9594,0.01,00.01
ntl-interp,0,7,16,55.8967,0.01,00.01
ntl-interp,0,8,1,42.4662,0.01,00.01
ntl-interp,0,8,2,36.9289,0.01,00.01
ntl-interp,0,8,4,34.5913,0.01,00.01
ntl-interp,0,8,8,38.0553,0.03,00.01
ntl-interp,0,8,16,45.6342,0.02,00.02
ntl-interp,0,9,1,40.073,0.02,00.02
ntl-interp,0,9,2,28.7173,0.03,00.02
ntl-interp,0,9,4,28.9284,0.02,00.02
ntl-interp,0,9,8,29.4464,0.04,00.02
ntl-interp,0,9,16,31.9499,0.05,00.03
ntl-interp,0,10,1,38.2399,0.04,00.04
ntl-interp,0,10,2,24.0486,0.03,00.03
ntl-interp,0,10,4,33.7083,0.10,00.05
ntl-interp,0,10,8,22.2499,0.08,00.03
ntl-interp,0,10,16,28.2118,0.10,00.05
ntl-interp,0,11,1,40.0296,0.08,00.09
ntl-interp,0,11,2,35.8658,0.13,00.08
ntl-interp,0,11,4,32.6036,0.17,00.07
ntl-interp,0,11,8,30.8564,0.24,00.08
ntl-interp,0,11,16,21.9639,0.21,00.06
ntl-interp,0,12,1,42.7558,0.19,00.19
ntl-interp,0,12,2,28.6923,0.22,00.14
ntl-interp,0,12,4,23.9409,0.26,00.11
ntl-interp,0,12,8,24.4249,0.44,00.11
ntl-interp,0,12,16,26.3986,0.43,00.12
ntl-interp,1,6,1,23.4993,0.00,00.00
ntl-interp,1,6,2,33.0726,0.00,00.00
ntl-interp,1,6,4,46.0065,0.01,00.01
ntl-interp,1,6,8,62.4218,0.01,00.01
ntl-interp,1,6,16,85.3453,0.01,00.02
ntl-interp,1,7,1,34.7392,0.01,00.01
ntl-interp,1,7,2,32.7947,0.01,00.01
ntl-interp,1,7,4,36.6254,0.01,00.01
ntl-interp,1,7,8,49.3696,0.01,00.01
ntl-interp,1,7,16,51.8694,0.02,00.02
ntl-interp,1,8,1,39.8912,0.01,00.01
ntl-interp,1,8,2,28.9573,0.01,00.01
ntl-interp,1,8,4,37.4121,0.01,00.01
ntl-interp,1,8,8,30.8396,0.02,00.01
ntl-interp,1,8,16,42.6716,0.02,00.02
ntl-interp,1,9,1,40.1179,0.02,00.02
ntl-interp,1,9,2,25.5278,0.02,00.02
ntl-interp,1,9,4,24.0223,0.02,00.01
ntl-interp,1,9,8,32.853,0.05,00.02
ntl-interp,1,9,16,34.145,0.05,00.03
ntl-interp,1,10,1,39.4017,0.04,00.04
ntl-interp,1,10,2,25.4591,0.04,00.03
ntl-interp,1,10,4,35.8506,0.08,00.04
ntl-interp,1,10,8,26.6755,0.11,00.04
ntl-interp,1,10,16,24.8697,0.08,00.04
ntl-interp,1,11,1,47.7122,0.10,00.11
ntl-interp,1,11,2,36.3431,0.13,00.09
ntl-interp,1,11,4,18.5668,0.09,00.04
ntl-interp,1,11,8,18.5077,0.18,00.05
ntl-interp,1,11,16,23.7292,0.19,00.07
ntl-interp,1,12,1,41.3286,0.17,00.18
ntl-interp,1,12,2,34.1137,0.25,00.15
ntl-interp,1,12,4,24.172,0.27,00.11
ntl-interp,1,12,8,25.9744,0.48,00.12
ntl-interp,1,12,16,30.3242,0.50,00.14
ntl-interp,2,6,1,23.8341,0.00,00.00
ntl-interp,2,6,2,39.3619,0.01,00.01
ntl-interp,2,6,4,41.3781,0.01,00.01
ntl-interp,2,6,8,68.3832,0.01,00.01
ntl-interp,2,6,16,72.3232,0.01,00.02
ntl-interp,2,7,1,40.6275,0.00,00.01
ntl-interp,2,7,2,41.4327,0.01,00.01
ntl-interp,2,7,4,33.7823,0.00,00.01
ntl-interp,2,7,8,51.2599,0.01,00.01
ntl-interp,2,7,16,60.6237,0.02,00.02
ntl-interp,2,8,1,40.0552,0.01,00.01
ntl-interp,2,8,2,28.4932,0.01,00.01
ntl-interp,2,8,4,26.5065,0.01,00.01
ntl-interp,2,8,8,41.9234,0.02,00.02
ntl-interp,2,8,16,37.6041,0.02,00.02
ntl-interp,2,9,1,40.9829,0.02,00.02
ntl-interp,2,9,2,27.29,0.02,00.02
ntl-interp,2,9,4,28.5154,0.03,00.02
ntl-interp,2,9,8,28.9059,0.05,00.02
ntl-interp,2,9,16,30.9655,0.04,00.03
ntl-interp,2,10,1,50.4564,0.06,00.06
ntl-interp,2,10,2,49.3106,0.08,00.05
ntl-interp,2,10,4,19.1352,0.05,00.03
ntl-interp,2,10,8,22.0802,0.08,00.03
ntl-interp,2,10,16,29.1881,0.10,00.05
ntl-interp,2,11,1,38.7949,0.07,00.08
ntl-interp,2,11,2,36.0719,0.11,00.08
ntl-interp,2,11,4,37.8224,0.20,00.08
ntl-interp,2,11,8,23.8161,0.21,00.07
ntl-interp,2,11,16,22.8219,0.18,00.07
ntl-interp,2,12,1,42.6331,0.18,00.19
ntl-interp,2,12,2,38.0153,0.28,00.17
ntl-interp,2,12,4,24.3806,0.25,00.11
ntl-interp,2,12,8,18.6078,0.36,00.10
ntl-interp,2,12,16,25.8644,0.50,00.13
